 One 	 Two 	 Three 	 Six 	 Eighteen 	 Twenty Four 
 One 	 Seven 	 Sixteen 	 Seventeen 	 Twenty Three 	 Forty One 
 One 	 Seven 	 Seventeen 	 Twenty Three 	 Thirty Four 	 Thirty Eight 
 One 	 Seven 	 Twenty 	 Twenty One 	 Forty Seven 	 Fifty Two 
 One 	 Seven 	 Twenty One 	 Twenty Eight 	 Thirty Four 	 Thirty Five 
 One 	 Seven 	 Twenty Four 	 Twenty Seven 	 Thirty Five 	 Forty Four 
 One 	 Seven 	 Twenty Six 	 Forty Three 	 Forty Six 	 Fifty One 
 One 	 Seven 	 Twenty Seven 	 Forty Seven 	 Fifty Two 	 Fifty Three 
 One 	 Seven 	 Thirty Two 	 Thirty Seven 	 Thirty Eight 	 Forty Five 
 One 	 Eight 	 Ten 	 Twenty Six 	 Thirty Nine 	 Fifty 
 One 	 Eight 	 Twelve 	 Twenty Two 	 Twenty Six 	 Thirty Seven 
 One 	 Eight 	 Twelve 	 Twenty Three 	 Thirty 	 Thirty Eight 
 One 	 Eight 	 Thirteen 	 Fourteen 	 Fifteen 	 Seventeen 
 One 	 Eight 	 Thirteen 	 Eighteen 	 Thirty Four 	 Forty Five 
 One 	 Eight 	 Fourteen 	 Eighteen 	 Nineteen 	 Forty One 
 One 	 Eight 	 Fourteen 	 Twenty Two 	 Twenty Six 	 Thirty Four 
 One 	 Eight 	 Fourteen 	 Thirty Two 	 Thirty Seven 	 Forty Six 
 One 	 Eight 	 Fourteen 	 Thirty Five 	 Forty Three 	 Fifty 
 One 	 Eight 	 Fifteen 	 Thirty Three 	 Forty Four 	 Fifty Four 
 One 	 Eight 	 Sixteen 	 Twenty Three 	 Twenty Nine 	 Forty 
 One 	 Eight 	 Sixteen 	 Thirty Nine 	 Forty One 	 Forty Seven 
 One 	 Eight 	 Eighteen 	 Nineteen 	 Twenty Five 	 Forty Seven 
 One 	 Eight 	 Nineteen 	 Twenty Nine 	 Thirty Six 	 Forty Five 
 One 	 Eight 	 Twenty 	 Thirty Five 	 Fifty One 	 Fifty Two 
 One 	 Eight 	 Twenty One 	 Twenty Three 	 Forty One 	 Forty Four 
 One 	 Nine 	 Ten 	 Twenty Eight 	 Forty Seven 	 Forty Nine 
 One 	 Nine 	 Eleven 	 Twenty One 	 Twenty Eight 	 Fifty Two 
 One 	 Nine 	 Fourteen 	 Twenty Three 	 Twenty Nine 	 Forty One 
 One 	 Nine 	 Fourteen 	 Twenty Six 	 Thirty Seven 	 Forty Six 
 One 	 Nine 	 Seventeen 	 Twenty Three 	 Fifty Three 	 Fifty Four 
 One 	 Nine 	 Twenty 	 Thirty Seven 	 Forty Six 	 Forty Seven 
 One 	 Nine 	 Twenty Five 	 Thirty 	 Thirty Nine 	 Forty One 
 One 	 Nine 	 Thirty Five 	 Thirty Six 	 Forty Nine 	 Fifty One 
 One 	 Ten 	 Eleven 	 Thirty One 	 Thirty Eight 	 Forty Nine 
 One 	 Ten 	 Twelve 	 Seventeen 	 Forty Two 	 Fifty Three 
 One 	 Ten 	 Sixteen 	 Twenty One 	 Twenty Two 	 Forty Eight 
 One 	 Ten 	 Seventeen 	 Twenty 	 Thirty 	 Forty One 
 One 	 Ten 	 Eighteen 	 Twenty Eight 	 Thirty Eight 	 Forty Nine 
 One 	 Ten 	 Twenty 	 Twenty One 	 Twenty Eight 	 Fifty 
 One 	 Ten 	 Twenty 	 Thirty Five 	 Thirty Eight 	 Forty Six 
 One 	 Eleven 	 Twelve 	 Eighteen 	 Twenty 	 Forty Seven 
 One 	 Eleven 	 Fourteen 	 Eighteen 	 Thirty Two 	 Fifty Four 
 One 	 Eleven 	 Seventeen 	 Twenty Two 	 Twenty Eight 	 Forty One 
 One 	 Eleven 	 Seventeen 	 Thirty Two 	 Forty Four 	 Fifty Two 
 One 	 Eleven 	 Twenty 	 Twenty Three 	 Thirty One 	 Thirty Six 
 One 	 Eleven 	 Twenty One 	 Thirty Four 	 Thirty Six 	 Forty 
 One 	 Eleven 	 Twenty Seven 	 Twenty Nine 	 Thirty Six 	 Fifty Three 
 One 	 Eleven 	 Thirty Seven 	 Thirty Nine 	 Forty 	 Forty Eight 
 One 	 Twelve 	 Thirteen 	 Twenty Seven 	 Thirty 	 Forty One 
 One 	 Twelve 	 Thirteen 	 Thirty One 	 Thirty Two 	 Forty 
 One 	 Twelve 	 Fourteen 	 Fifteen 	 Thirty Two 	 Forty One 
 One 	 Twelve 	 Seventeen 	 Twenty 	 Twenty Seven 	 Thirty Four 
 One 	 Twelve 	 Seventeen 	 Thirty One 	 Thirty Four 	 Forty 
 One 	 Twelve 	 Seventeen 	 Thirty Seven 	 Forty Eight 	 Fifty 
 One 	 Twelve 	 Eighteen 	 Twenty Nine 	 Thirty Four 	 Fifty Two 
 One 	 Twelve 	 Twenty Two 	 Thirty One 	 Thirty Nine 	 Forty Six 
 One 	 Twelve 	 Twenty Three 	 Twenty Five 	 Forty One 	 Forty Seven 
 One 	 Twelve 	 Twenty Five 	 Thirty Six 	 Thirty Nine 	 Forty Five 
 One 	 Twelve 	 Twenty Six 	 Twenty Eight 	 Forty Two 	 Forty Eight 
 One 	 Twelve 	 Twenty Six 	 Thirty Two 	 Thirty Four 	 Fifty Four 
 One 	 Twelve 	 Twenty Seven 	 Forty 	 Fifty 	 Fifty Two 
 One 	 Twelve 	 Thirty Eight 	 Forty 	 Forty One 	 Forty Eight 
 One 	 Thirteen 	 Sixteen 	 Thirty Two 	 Forty Nine 	 Fifty Two 
 One 	 Thirteen 	 Eighteen 	 Twenty Two 	 Twenty Seven 	 Thirty Eight 
 One 	 Thirteen 	 Nineteen 	 Twenty Three 	 Thirty Five 	 Forty Three 
 One 	 Thirteen 	 Nineteen 	 Forty Four 	 Forty Six 	 Fifty Two 
 One 	 Thirteen 	 Twenty 	 Twenty Five 	 Thirty Two 	 Forty Nine 
 One 	 Thirteen 	 Thirty One 	 Thirty Four 	 Thirty Nine 	 Forty Eight 
 One 	 Fourteen 	 Sixteen 	 Twenty Four 	 Thirty Eight 	 Forty Two 
 One 	 Fourteen 	 Eighteen 	 Thirty One 	 Thirty Three 	 Forty Seven 
 One 	 Fourteen 	 Nineteen 	 Thirty Two 	 Thirty Seven 	 Forty Six 
 One 	 Fourteen 	 Twenty Two 	 Thirty Six 	 Thirty Eight 	 Forty 
 One 	 Fourteen 	 Twenty Six 	 Twenty Nine 	 Thirty Eight 	 Forty Six 
 One 	 Fourteen 	 Twenty Six 	 Thirty Two 	 Thirty Five 	 Thirty Seven 
 One 	 Fourteen 	 Twenty Six 	 Forty One 	 Forty Nine 	 Fifty Three 
 One 	 Fifteen 	 Seventeen 	 Twenty Two 	 Forty Two 	 Forty Eight 
 One 	 Fifteen 	 Twenty One 	 Thirty One 	 Thirty Six 	 Forty Six 
 One 	 Fifteen 	 Twenty Seven 	 Thirty Eight 	 Thirty Nine 	 Fifty 
 One 	 Sixteen 	 Nineteen 	 Thirty Nine 	 Forty Two 	 Forty Six 
 One 	 Sixteen 	 Twenty Five 	 Thirty Four 	 Fifty 	 Fifty Three 
 One 	 Seventeen 	 Twenty Two 	 Thirty Six 	 Thirty Nine 	 Fifty Two 
 One 	 Seventeen 	 Twenty Four 	 Twenty Five 	 Twenty Eight 	 Forty Nine 
 One 	 Eighteen 	 Twenty One 	 Twenty Seven 	 Twenty Nine 	 Thirty One 
 One 	 Eighteen 	 Twenty Two 	 Thirty One 	 Thirty Five 	 Forty Two 
 One 	 Eighteen 	 Twenty Five 	 Forty Nine 	 Fifty One 	 Fifty Two 
 One 	 Nineteen 	 Twenty 	 Twenty Eight 	 Forty One 	 Forty Five 
 One 	 Nineteen 	 Twenty 	 Thirty One 	 Thirty Five 	 Forty Five 
 One 	 Nineteen 	 Twenty Four 	 Twenty Nine 	 Thirty Three 	 Thirty Six 
 One 	 Nineteen 	 Twenty Six 	 Thirty Four 	 Thirty Five 	 Forty One 
 One 	 Nineteen 	 Twenty Nine 	 Forty Three 	 Forty Six 	 Fifty Three 
 One 	 Twenty 	 Twenty One 	 Twenty Seven 	 Forty 	 Fifty Three 
 One 	 Twenty 	 Twenty Two 	 Twenty Four 	 Twenty Eight 	 Forty Two 
 One 	 Twenty 	 Twenty Three 	 Twenty Seven 	 Thirty Four 	 Fifty Four 
 One 	 Twenty 	 Twenty Six 	 Forty Five 	 Fifty 	 Fifty One 
 One 	 Twenty 	 Forty 	 Forty Seven 	 Fifty 	 Fifty Three 
 One 	 Twenty Two 	 Thirty Three 	 Forty One 	 Forty Nine 	 Fifty 
 One 	 Twenty Three 	 Twenty Eight 	 Forty Six 	 Fifty One 	 Fifty Four 
 One 	 Twenty Three 	 Thirty Four 	 Forty One 	 Fifty One 	 Fifty Three 
 One 	 Twenty Four 	 Twenty Seven 	 Forty One 	 Forty Nine 	 Fifty Three 
 One 	 Twenty Four 	 Thirty 	 Thirty Eight 	 Forty Five 	 Forty Eight 
 One 	 Twenty Five 	 Twenty Nine 	 Thirty One 	 Forty 	 Forty Four 
 One 	 Twenty Five 	 Thirty Five 	 Forty Two 	 Forty Eight 	 Fifty One 
 One 	 Twenty Six 	 Twenty Seven 	 Twenty Eight 	 Thirty Five 	 Forty Five 
 One 	 Twenty Six 	 Thirty Four 	 Thirty Seven 	 Forty Four 	 Fifty One 
 One 	 Twenty Six 	 Thirty Four 	 Thirty Eight 	 Forty Five 	 Forty Nine 
 One 	 Twenty Seven 	 Thirty Two 	 Thirty Six 	 Forty 	 Forty Nine 
 One 	 Twenty Seven 	 Thirty Five 	 Forty Two 	 Forty Nine 	 Fifty Three 
 One 	 Thirty One 	 Thirty Three 	 Forty One 	 Forty Seven 	 Fifty Four 
 One 	 Thirty Two 	 Thirty Six 	 Thirty Seven 	 Thirty Eight 	 Fifty One 
 Two 	 Three 	 Seven 	 Sixteen 	 Twenty Three 	 Forty Nine 
 Two 	 Three 	 Seven 	 Forty Five 	 Fifty One 	 Fifty Three 
 Two 	 Three 	 Eight 	 Twelve 	 Twenty Five 	 Twenty Seven 
 Two 	 Three 	 Ten 	 Thirty Three 	 Forty Four 	 Fifty One 
 Two 	 Three 	 Eleven 	 Twenty Four 	 Twenty Seven 	 Thirty Two 
 Two 	 Three 	 Eleven 	 Twenty Six 	 Thirty One 	 Forty Nine 
 Two 	 Three 	 Fifteen 	 Twenty Two 	 Thirty Four 	 Thirty Nine 
 Two 	 Three 	 Sixteen 	 Seventeen 	 Twenty Seven 	 Twenty Eight 
 Two 	 Three 	 Seventeen 	 Thirty Five 	 Forty One 	 Forty Four 
 Two 	 Three 	 Twenty Two 	 Twenty Five 	 Thirty Two 	 Forty Two 
 Two 	 Three 	 Twenty Nine 	 Thirty 	 Thirty Seven 	 Fifty Two 
 Two 	 Four 	 Five 	 Seventeen 	 Forty Eight 	 Fifty 
 Two 	 Four 	 Five 	 Twenty Nine 	 Forty Eight 	 Fifty 
 Two 	 Four 	 Six 	 Fourteen 	 Sixteen 	 Forty Two 
 Two 	 Four 	 Seven 	 Twenty Seven 	 Forty 	 Fifty Two 
 Two 	 Four 	 Eight 	 Eighteen 	 Twenty Two 	 Thirty 
 Two 	 Four 	 Eleven 	 Twenty Four 	 Forty 	 Forty Seven 
 Two 	 Four 	 Fifteen 	 Thirty Eight 	 Forty Eight 	 Fifty Three 
 Two 	 Four 	 Sixteen 	 Thirty Five 	 Forty Three 	 Fifty Two 
 Two 	 Four 	 Twenty One 	 Twenty Three 	 Fifty Two 	 Fifty Four 
 Two 	 Four 	 Twenty Two 	 Twenty Three 	 Thirty 	 Forty Five 
 Two 	 Four 	 Twenty Three 	 Thirty 	 Thirty One 	 Thirty Six 
 Two 	 Four 	 Twenty Five 	 Forty Six 	 Forty Nine 	 Fifty One 
 Two 	 Four 	 Twenty Six 	 Twenty Eight 	 Thirty 	 Forty Four 
 Two 	 Four 	 Thirty 	 Thirty One 	 Thirty Four 	 Forty Four 
 Two 	 Five 	 Six 	 Twenty Seven 	 Thirty Two 	 Thirty Three 
 Two 	 Five 	 Eight 	 Ten 	 Thirty One 	 Thirty Six 
 Two 	 Five 	 Eight 	 Eighteen 	 Thirty Two 	 Thirty Seven 
 Two 	 Five 	 Nine 	 Thirty Six 	 Fifty 	 Fifty One 
 Two 	 Five 	 Eleven 	 Thirty Three 	 Thirty Nine 	 Fifty One 
 Two 	 Five 	 Twelve 	 Twenty Three 	 Thirty Six 	 Fifty Three 
 Two 	 Five 	 Twelve 	 Twenty Six 	 Thirty One 	 Forty Three 
 Two 	 Five 	 Thirteen 	 Twenty Two 	 Twenty Four 	 Forty Two 
 Two 	 Five 	 Thirteen 	 Twenty Two 	 Twenty Eight 	 Forty Three 
 Two 	 Five 	 Fourteen 	 Eighteen 	 Twenty Six 	 Twenty Seven 
 Two 	 Five 	 Fourteen 	 Nineteen 	 Twenty Nine 	 Forty Three 
 Two 	 Five 	 Fourteen 	 Twenty Five 	 Twenty Six 	 Thirty 
 Two 	 Five 	 Twenty Five 	 Thirty Five 	 Forty One 	 Fifty Three 
 Two 	 Five 	 Thirty Two 	 Forty Five 	 Forty Seven 	 Fifty Four 
 Two 	 Five 	 Thirty Four 	 Thirty Six 	 Thirty Nine 	 Forty Two 
 Two 	 Six 	 Seven 	 Ten 	 Twenty Eight 	 Thirty Eight 
 Two 	 Six 	 Seven 	 Thirteen 	 Twenty Three 	 Twenty Eight 
 Two 	 Six 	 Nine 	 Twenty Two 	 Thirty Nine 	 Fifty Three 
 Two 	 Six 	 Ten 	 Twenty 	 Twenty One 	 Fifty Three 
 Two 	 Six 	 Twelve 	 Fifteen 	 Twenty Three 	 Thirty Two 
 Two 	 Six 	 Twelve 	 Twenty Five 	 Thirty Five 	 Forty Seven 
 Two 	 Six 	 Thirteen 	 Twenty One 	 Thirty Five 	 Forty Seven 
 Two 	 Six 	 Fourteen 	 Eighteen 	 Fifty One 	 Fifty Two 
 Two 	 Six 	 Fourteen 	 Twenty Six 	 Thirty Six 	 Fifty 
 Two 	 Six 	 Fourteen 	 Twenty Seven 	 Thirty 	 Forty Three 
 Two 	 Six 	 Fifteen 	 Twenty Four 	 Forty Eight 	 Forty Nine 
 Two 	 Six 	 Eighteen 	 Thirty Nine 	 Forty 	 Forty Eight 
 Two 	 Six 	 Nineteen 	 Twenty Three 	 Thirty Seven 	 Forty Three 
 Two 	 Six 	 Nineteen 	 Twenty Five 	 Forty Three 	 Forty Seven 
 Two 	 Six 	 Twenty Six 	 Thirty Two 	 Forty Two 	 Forty Nine 
 Two 	 Six 	 Twenty Eight 	 Twenty Nine 	 Forty Six 	 Fifty Three 
 Two 	 Six 	 Thirty Seven 	 Forty Two 	 Fifty 	 Fifty Three 
 Two 	 Seven 	 Eight 	 Twenty Four 	 Thirty Nine 	 Fifty One 
 Two 	 Seven 	 Ten 	 Eighteen 	 Thirty Five 	 Fifty 
 Two 	 Seven 	 Twelve 	 Fifteen 	 Twenty Four 	 Forty Seven 
 Two 	 Seven 	 Fifteen 	 Nineteen 	 Twenty Three 	 Thirty 
 Two 	 Seven 	 Fifteen 	 Twenty Four 	 Thirty Six 	 Forty Eight 
 Two 	 Seven 	 Eighteen 	 Nineteen 	 Forty Four 	 Forty Seven 
 Two 	 Seven 	 Eighteen 	 Twenty Three 	 Thirty Five 	 Forty 
 Two 	 Seven 	 Eighteen 	 Twenty Six 	 Thirty 	 Fifty One 
 Two 	 Seven 	 Eighteen 	 Thirty Four 	 Forty Five 	 Fifty Two 
 Two 	 Seven 	 Nineteen 	 Twenty Eight 	 Thirty Six 	 Fifty One 
 Two 	 Seven 	 Twenty 	 Twenty One 	 Twenty Three 	 Forty 
 Two 	 Seven 	 Twenty One 	 Thirty Five 	 Forty Three 	 Fifty 
 Two 	 Seven 	 Twenty Three 	 Thirty One 	 Thirty Five 	 Forty Six 
 Two 	 Seven 	 Twenty Three 	 Thirty Eight 	 Fifty One 	 Fifty Three 
 Two 	 Seven 	 Thirty Eight 	 Forty Two 	 Forty Seven 	 Fifty One 
 Two 	 Eight 	 Nine 	 Fourteen 	 Fifty One 	 Fifty Two 
 Two 	 Eight 	 Ten 	 Fourteen 	 Twenty Two 	 Thirty One 
 Two 	 Eight 	 Ten 	 Twenty Nine 	 Forty One 	 Forty Eight 
 Two 	 Eight 	 Eleven 	 Twelve 	 Eighteen 	 Twenty One 
 Two 	 Eight 	 Eleven 	 Twenty One 	 Twenty Two 	 Forty One 
 Two 	 Eight 	 Fourteen 	 Thirty One 	 Thirty Nine 	 Forty Five 
 Two 	 Eight 	 Fifteen 	 Twenty One 	 Thirty Six 	 Thirty Seven 
 Two 	 Eight 	 Seventeen 	 Forty Two 	 Forty Eight 	 Fifty Two 
 Two 	 Eight 	 Nineteen 	 Thirty Nine 	 Forty Three 	 Fifty Four 
 Two 	 Eight 	 Twenty 	 Twenty Seven 	 Thirty Two 	 Thirty Four 
 Two 	 Eight 	 Twenty Two 	 Twenty Nine 	 Thirty Five 	 Thirty Eight 
 Two 	 Nine 	 Twelve 	 Twenty Two 	 Thirty One 	 Fifty Four 
 Two 	 Nine 	 Thirteen 	 Twenty Three 	 Thirty One 	 Forty Six 
 Two 	 Nine 	 Thirteen 	 Twenty Five 	 Forty Four 	 Fifty 
 Two 	 Nine 	 Fourteen 	 Eighteen 	 Twenty Seven 	 Twenty Eight 
 Two 	 Nine 	 Fourteen 	 Twenty Two 	 Thirty Five 	 Thirty Six 
 Two 	 Nine 	 Fifteen 	 Eighteen 	 Twenty One 	 Twenty Two 
 Two 	 Nine 	 Sixteen 	 Twenty Two 	 Forty Six 	 Forty Nine 
 Two 	 Nine 	 Eighteen 	 Forty Two 	 Fifty One 	 Fifty Two 
 Two 	 Nine 	 Nineteen 	 Twenty Three 	 Forty One 	 Forty Two 
 Two 	 Nine 	 Nineteen 	 Thirty Two 	 Thirty Four 	 Forty Four 
 Two 	 Nine 	 Twenty 	 Twenty Two 	 Forty Three 	 Forty Eight 
 Two 	 Nine 	 Twenty One 	 Twenty Six 	 Twenty Eight 	 Fifty One 
 Two 	 Nine 	 Twenty One 	 Thirty Five 	 Forty Four 	 Fifty 
 Two 	 Nine 	 Twenty Two 	 Forty Five 	 Forty Eight 	 Fifty Four 
 Two 	 Nine 	 Twenty Three 	 Thirty Seven 	 Forty Two 	 Fifty 
 Two 	 Nine 	 Twenty Four 	 Twenty Six 	 Thirty One 	 Thirty Six 
 Two 	 Nine 	 Twenty Nine 	 Thirty Nine 	 Forty Eight 	 Fifty Four 
 Two 	 Nine 	 Thirty Four 	 Thirty Eight 	 Forty Three 	 Fifty One 
 Two 	 Ten 	 Fourteen 	 Fifteen 	 Thirty One 	 Thirty Eight 
 Two 	 Ten 	 Seventeen 	 Twenty Eight 	 Fifty 	 Fifty Two 
 Two 	 Ten 	 Seventeen 	 Thirty Seven 	 Forty 	 Fifty 
 Two 	 Ten 	 Eighteen 	 Thirty Four 	 Forty Three 	 Fifty Four 
 Two 	 Ten 	 Twenty 	 Thirty Eight 	 Forty Three 	 Fifty Two 
 Two 	 Ten 	 Twenty One 	 Twenty Four 	 Fifty Three 	 Fifty Four 
 Two 	 Ten 	 Twenty Three 	 Thirty Two 	 Thirty Four 	 Thirty Eight 
 Two 	 Ten 	 Twenty Five 	 Twenty Seven 	 Thirty Two 	 Fifty Two 
 Two 	 Ten 	 Twenty Eight 	 Thirty Seven 	 Thirty Nine 	 Fifty 
 Two 	 Ten 	 Thirty One 	 Thirty Eight 	 Forty 	 Fifty Four 
 Two 	 Ten 	 Thirty Six 	 Forty Two 	 Forty Seven 	 Fifty Three 
 Two 	 Eleven 	 Fifteen 	 Twenty Five 	 Forty Two 	 Forty Nine 
 Two 	 Eleven 	 Eighteen 	 Twenty Six 	 Twenty Nine 	 Forty One 
 Two 	 Eleven 	 Twenty Two 	 Twenty Seven 	 Thirty Three 	 Forty 
 Two 	 Eleven 	 Twenty Nine 	 Thirty Two 	 Thirty Eight 	 Fifty Two 
 Two 	 Eleven 	 Twenty Nine 	 Forty Three 	 Forty Five 	 Fifty Four 
 Two 	 Eleven 	 Thirty Six 	 Forty 	 Forty Two 	 Fifty Three 
 Two 	 Twelve 	 Fifteen 	 Twenty 	 Twenty Four 	 Fifty Two 
 Two 	 Twelve 	 Seventeen 	 Eighteen 	 Forty Nine 	 Fifty Four 
 Two 	 Twelve 	 Twenty Three 	 Thirty Three 	 Thirty Nine 	 Forty Eight 
 Two 	 Twelve 	 Twenty Five 	 Twenty Seven 	 Twenty Nine 	 Thirty 
 Two 	 Twelve 	 Twenty Eight 	 Thirty One 	 Thirty Two 	 Forty Two 
 Two 	 Thirteen 	 Fourteen 	 Twenty 	 Twenty Three 	 Fifty Four 
 Two 	 Thirteen 	 Fifteen 	 Thirty Three 	 Thirty Five 	 Forty Seven 
 Two 	 Thirteen 	 Sixteen 	 Thirty Five 	 Forty Nine 	 Fifty Two 
 Two 	 Thirteen 	 Seventeen 	 Thirty Four 	 Thirty Nine 	 Forty 
 Two 	 Thirteen 	 Seventeen 	 Thirty Nine 	 Forty One 	 Forty Six 
