B1,B2,B3,B4,BonusBall
2,24,26,34,23
15,18,28,34,4
1,14,21,31,25
13,16,19,27,26
1,6,7,10,27
16,17,23,34,4
3,13,26,34,11
1,7,12,32,26
6,7,17,21,19
6,25,26,33,4
1,4,8,29,35
24,26,28,31,29
2,3,6,33,3
3,14,20,23,29
4,8,13,24,23
12,13,23,24,7
1,18,20,35,21
6,19,28,34,29
5,7,19,33,6
9,10,18,27,10
2,11,27,30,1
9,15,16,30,16
8,21,23,32,32
12,17,30,32,5
1,8,15,23,14
3,22,24,35,14
5,10,16,27,8
12,18,24,34,9
2,14,24,28,28
19,21,27,29,8
1,11,19,35,35
3,17,21,23,21
30,31,32,33,9
14,20,27,33,9
2,16,21,28,25
3,4,14,29,28
4,9,20,28,7
5,15,20,32,28
13,16,26,27,20
5,28,29,34,8
1,19,27,33,7
10,17,27,32,13
2,5,20,35,4
5,8,12,20,7
4,17,18,27,21
2,8,12,22,5
20,26,27,31,20
15,16,30,35,5
1,6,16,27,3
8,23,27,35,14
2,7,17,34,21
7,17,19,21,18
2,6,11,19,30
8,25,30,35,34
6,7,11,29,14
2,22,28,33,16
1,5,9,29,24
2,13,17,23,23
2,7,8,27,29
8,9,15,19,3
2,14,23,32,21
3,4,25,28,30
4,18,27,35,19
4,6,11,22,21
15,17,31,35,33
11,16,27,31,15
13,19,22,30,4
9,16,26,29,21
17,21,22,35,14
8,17,19,35,34
3,8,14,19,18
2,12,22,24,11
1,10,21,30,21
6,9,11,14,12
4,15,16,19,20
16,21,26,30,21
10,20,23,26,22
5,19,22,26,12
11,17,28,34,34
3,7,29,30,16
4,29,32,34,30
6,12,18,30,19
2,4,14,31,7
17,18,20,28,14
3,14,18,25,35
7,10,21,34,18
11,16,20,25,4
19,24,27,32,20
5,6,27,31,3
6,17,33,34,21
1,3,28,30,31
16,30,33,34,29
11,14,29,30,17
3,22,24,32,24
7,23,27,31,24
5,8,17,34,23
1,15,22,23,11
4,30,32,35,8
3,8,22,25,3
3,4,14,27,4
4,14,31,32,11
1,7,23,32,35
15,22,25,34,29
1,26,29,31,29
8,19,22,26,4
3,15,26,29,2
20,23,24,30,16
9,18,27,29,34
7,16,26,32,12
12,22,24,27,24
12,13,27,28,30
12,25,30,33,7
2,5,12,13,16
3,5,22,32,14
23,24,26,31,28
2,3,9,28,3
1,18,27,29,33
12,13,33,34,22
17,22,27,35,35
15,27,28,31,5
12,27,30,32,2
15,21,26,33,24
5,6,24,33,34
12,15,22,32,26
6,10,25,35,1
17,21,28,34,21
17,26,27,33,16
13,19,29,30,27
13,30,33,35,15
2,9,24,32,28
5,27,31,34,3
2,3,20,28,5
3,5,17,20,32
6,14,34,35,9
15,16,21,35,16
8,17,24,29,20
15,16,18,24,34
13,21,23,32,1
6,13,25,27,34
9,18,27,35,9
7,11,23,24,27
19,24,29,33,17
8,13,18,27,14
9,12,23,24,30
4,6,25,32,32
1,9,15,33,35
2,3,17,22,13
2,22,23,26,15
2,7,24,25,2
2,5,11,30,11
12,18,20,33,30
20,21,34,35,32
3,23,25,29,28
1,3,29,35,21
6,20,28,31,23
4,10,31,35,24
10,28,31,34,18
4,5,27,31,6
4,14,22,27,8
13,20,22,33,1
15,21,25,33,13
6,9,11,20,33
4,10,18,20,13
17,23,25,33,28
17,18,25,33,14
14,26,30,32,29
1,2,12,34,14
14,21,29,31,15
9,17,30,33,27
3,4,10,25,23
3,19,23,30,27
4,6,7,22,26
2,24,25,29,31
4,8,24,31,32
6,10,24,26,17
1,10,18,26,33
7,13,30,33,31
12,23,29,31,30
1,3,11,34,13
2,11,19,20,6
14,19,21,26,29
7,9,30,31,10
1,6,9,13,19
10,12,16,27,21
3,10,18,26,32
17,20,32,34,6
2,11,17,20,11
2,15,22,29,32
9,19,21,32,28
3,6,15,17,26
13,17,29,31,9
8,14,33,34,17
2,17,23,35,28
4,13,21,22,11
6,10,17,24,21
2,10,13,24,7
8,16,23,27,20
5,7,23,29,13
4,16,25,28,25
1,8,30,34,2
2,16,17,24,5
3,12,19,22,29
17,18,21,30,13
9,10,16,34,32
15,20,26,31,14
1,13,28,33,12
2,20,24,28,11
7,10,19,21,27
3,5,6,7,7
4,11,12,19,29
5,10,18,31,15
4,11,30,35,35
14,27,30,32,5
2,17,23,28,25
2,6,9,18,18
2,7,18,21,18
17,26,28,33,18
1,12,27,30,28
4,13,16,30,12
8,11,15,35,14
5,8,21,32,23
8,11,13,23,28
2,12,30,35,8
3,15,16,33,2
6,22,33,34,18
8,22,26,29,29
12,16,21,32,16
9,21,27,34,2
17,21,29,31,17
10,12,19,31,1
6,17,25,29,18
5,11,27,33,28
9,14,18,33,10
14,17,21,27,23
8,13,18,33,19
1,5,20,26,17
4,19,32,34,21
4,5,27,35,23
9,18,24,28,1
7,8,10,26,9
12,13,31,33,20
22,23,31,32,5
12,23,25,32,15
5,14,17,24,7
1,14,16,26,5
7,10,26,30,19
8,27,29,31,1
4,21,29,30,31
6,12,20,28,26
7,14,24,35,34
5,9,15,22,30
2,15,29,33,15
3,14,18,20,10
6,11,21,28,26
18,19,22,30,1
1,6,21,35,16
9,13,16,20,29
3,24,26,31,3
6,19,32,35,13
3,6,8,26,22
1,6,15,16,2
9,18,19,21,7
1,14,17,28,10
3,6,20,34,16
6,21,25,27,18
1,11,22,33,24
14,22,33,34,7
13,14,17,20,24
5,26,27,33,22
3,31,32,35,6
1,8,16,26,11
1,6,20,27,20
10,18,24,35,10
1,2,20,30,20
3,11,32,33,32
2,5,8,22,25
11,16,19,27,32
14,20,27,34,27
23,26,29,31,14
17,28,29,34,30
3,9,27,30,32
14,23,27,32,19
4,12,20,22,22
11,17,28,31,25
3,9,11,12,5
4,7,25,32,22
16,23,25,35,26
24,31,33,35,33
10,19,23,33,28
14,21,27,30,4
1,2,4,19,6
3,13,24,25,26
4,7,20,35,4
6,9,28,30,25
21,24,26,30,25
7,13,25,32,27
4,18,21,25,29
1,8,10,28,9
2,15,23,24,31
10,21,28,32,21
5,12,29,34,3
1,7,23,33,11
15,20,29,35,18
1,13,19,31,28
13,19,25,28,30
14,17,21,32,7
7,13,19,27,14
10,12,16,29,18
22,23,32,34,22
4,10,11,21,8
5,23,32,34,15
2,10,12,17,13
10,12,16,32,23
2,8,11,27,28
6,19,25,33,25
14,23,25,26,7
13,14,16,27,20
22,28,31,33,7
4,20,25,29,9
6,9,24,27,27
6,14,21,33,29
1,21,26,27,2
20,21,24,29,1
8,9,27,31,19
2,14,19,25,11
12,16,23,31,2
1,14,22,34,23
5,15,20,31,12
4,7,12,33,6
9,11,33,34,31
2,9,11,28,8
5,27,28,35,27
10,19,20,28,23
3,16,21,34,6
13,17,26,32,30
8,12,15,23,18
4,5,22,27,10
13,25,32,33,33
6,8,31,32,6
12,16,19,29,9
3,7,14,18,28
3,4,21,24,10
7,12,14,32,26
13,15,27,28,4
11,12,22,33,3
6,12,31,35,22
2,3,11,30,17
14,22,31,33,5
3,6,29,33,33
1,20,32,34,30
20,22,29,35,3
3,18,28,29,35
1,6,12,19,34
9,16,24,28,21
12,14,15,17,26
10,11,25,32,17
3,27,33,35,29
12,23,26,35,9
16,28,29,31,4
20,27,28,35,7
17,29,30,32,11
2,10,16,34,7
11,15,21,31,20
5,13,18,20,27
13,19,28,33,25
10,21,23,32,2
4,7,16,30,10
8,19,25,29,11
6,7,21,30,1
2,5,13,35,27
19,21,25,34,26
14,18,19,33,14
4,7,15,30,5
5,12,28,31,4
15,17,25,28,26
3,17,25,34,18
25,27,30,34,12
1,11,16,24,1
6,9,13,28,26
12,22,30,31,31
2,21,24,35,3
12,20,21,24,33
4,21,27,35,10
5,7,22,29,21
13,16,26,29,9
2,9,15,31,12
12,17,22,33,18
7,15,24,29,10
13,22,27,29,17
3,6,10,35,12
3,5,6,8,26
2,3,7,17,24
4,13,17,19,16
1,6,7,30,22
13,19,21,35,16
21,24,26,29,9
4,16,28,30,15
4,25,26,27,29
11,16,28,29,2
2,14,16,24,34
2,13,17,32,6
6,7,15,18,23
7,15,17,18,12
6,21,22,34,33
14,18,19,35,26
2,25,28,29,32
6,13,32,35,9
8,9,12,27,4
8,23,27,32,5
17,19,28,34,9
24,29,31,34,26
6,17,25,33,5
2,7,15,18,17
3,15,27,33,32
21,24,28,30,25
7,13,18,32,5
9,12,34,35,13
2,15,18,20,5
21,26,28,29,15
5,7,28,33,9
12,14,24,31,21
14,15,22,28,35
17,22,26,33,25
2,3,11,29,17
13,30,32,35,10
20,21,30,31,6
9,17,18,29,24
11,20,26,27,14
19,24,30,33,2
18,20,22,24,29
4,6,28,32,25
4,9,15,21,30
9,20,29,34,24
17,26,31,33,19
1,9,12,18,4
10,19,21,23,26
7,9,27,30,13
19,27,29,31,26
2,11,27,34,10
12,14,19,22,20
3,12,14,24,2
1,13,18,31,18
5,8,31,32,7
21,25,29,33,7
1,12,23,29,29
3,12,27,33,28
5,9,17,20,17
3,7,19,34,14
1,13,14,35,20
8,10,12,33,22
3,6,17,33,33
6,10,19,34,25
15,19,22,23,27
4,13,22,35,30
17,21,25,34,22
1,4,10,35,31
2,15,19,34,8
6,15,17,21,10
8,17,24,34,7
5,10,14,33,30
25,27,29,35,26
7,12,15,33,28
3,10,11,30,26
2,6,8,16,2
8,16,22,32,13
11,16,18,24,29
4,12,22,34,14
3,6,16,30,20
3,6,20,33,16
2,15,16,17,3
14,15,32,35,27
1,2,8,25,27
13,17,19,35,33
2,10,30,34,30
13,15,16,30,20
3,28,33,34,31
7,9,10,23,7
14,18,20,25,8
3,13,30,32,12
8,13,20,24,34
11,24,29,30,32
3,4,12,27,20
3,14,19,30,3
2,5,10,19,20
10,16,21,31,3
11,12,19,34,34
3,15,18,20,26
7,24,34,35,6
2,3,26,27,11
1,5,26,31,7
12,24,25,32,18
6,9,24,28,25
25,26,27,33,24
14,17,28,35,29
2,9,19,32,34
17,22,28,32,15
17,22,26,27,11
2,16,22,26,21
6,7,22,31,34
3,5,12,17,16
4,5,15,30,31
7,11,16,29,8
7,12,18,29,3
10,19,28,32,3
16,18,27,31,35
12,13,15,32,18
4,20,28,32,14
6,12,23,26,35
1,2,20,30,26
2,20,22,25,4
7,11,19,26,11
1,23,29,35,31
5,9,17,34,5
18,20,22,31,16
9,12,13,23,30
20,24,32,34,14
6,16,28,31,32
21,22,23,31,14
3,24,30,32,35
14,15,30,31,19
15,21,24,32,11
15,24,30,32,25
6,13,15,17,11
12,14,15,28,22
10,25,30,35,24
18,24,26,29,8
10,17,25,31,3
6,11,12,20,18
14,18,22,35,27
7,18,19,20,15
6,12,15,18,10
9,19,25,29,8
7,9,23,30,9
3,8,15,35,21
8,10,12,16,9
2,3,15,34,17
19,22,23,35,16
16,20,22,25,31
19,25,31,32,32
7,18,24,25,35
4,6,30,34,16
16,26,29,34,30
11,25,26,35,3
5,18,30,33,15
11,20,25,27,6
3,16,26,35,27
2,9,14,21,21
18,19,21,30,11
4,8,20,31,19
1,13,23,25,10
21,22,23,27,8
4,6,22,33,12
8,14,22,35,7
2,19,30,33,2
10,13,30,32,24
9,18,19,33,7
6,29,30,31,17
5,7,31,32,31
13,21,23,24,11
11,14,16,20,32
4,18,25,31,2
9,10,20,30,4
7,16,33,35,27
8,9,11,31,18
7,17,27,28,4
16,22,34,35,20
10,13,15,25,6
12,19,22,28,32
4,28,29,34,22
8,20,26,33,11
1,11,16,23,9
11,19,30,33,3
10,11,21,25,9
2,15,21,32,24
5,20,22,23,1
3,5,6,32,6
15,16,21,30,25
16,22,30,32,5
2,5,16,30,33
5,9,25,33,5
5,12,17,35,25
8,29,30,32,10
2,17,22,30,19
4,5,22,23,21
3,19,31,34,8
2,12,13,14,31
1,9,11,32,21
5,11,29,30,35
3,5,10,35,22
2,13,28,32,10
13,21,34,35,20
1,6,20,22,3
8,13,23,30,35
12,27,30,32,21
3,27,31,33,2
20,21,25,26,17
7,15,27,34,21
4,7,20,31,3
4,6,9,34,32
27,29,33,34,31
8,22,27,28,20
2,8,28,31,23
2,23,34,35,33
10,13,14,22,12
7,17,24,28,35
13,19,25,29,12
4,12,17,18,22
19,23,30,32,10
3,9,13,28,14
14,17,19,35,21
1,9,14,23,13
12,13,16,18,13
8,22,27,29,26
7,8,14,22,29
23,29,30,34,25
13,16,21,22,28
1,7,12,34,30
6,9,32,34,17
11,20,23,31,20
5,16,23,29,26
12,25,28,34,24
10,11,13,18,5
4,16,17,33,12
3,4,9,16,33
1,9,27,32,2
5,13,29,31,21
11,12,28,31,7
1,2,29,34,27
3,11,23,24,10
4,13,25,33,19
8,9,12,35,15
1,9,29,33,24
19,20,21,22,33
3,13,29,33,17
3,6,14,27,30
4,9,10,27,12
6,14,16,22,13
14,17,19,26,6
13,29,30,33,17
6,8,17,35,11
7,8,31,35,20
4,9,10,16,9
12,15,25,29,33
4,21,27,29,27
8,21,31,32,19
14,23,24,34,4
15,16,30,33,18
3,4,6,30,10
12,13,17,28,10
8,20,21,32,6
7,13,15,16,22
1,5,17,22,25
5,16,29,30,21
1,11,30,34,25
4,20,27,29,18
11,19,22,31,14
3,6,8,30,21
3,5,13,21,10
4,12,13,35,31
8,13,15,30,34
4,25,31,32,25
6,8,18,25,4
7,28,29,30,5
11,12,33,34,16
6,19,24,25,7
5,8,14,33,24
4,11,16,35,27
6,19,30,33,29
1,3,4,20,5
10,26,31,32,4
18,22,30,34,15
4,13,19,33,35
1,9,33,34,7
6,13,15,27,25
8,22,23,25,22
8,15,21,34,7
10,28,30,35,25
1,25,27,33,8
1,6,13,27,30
12,17,33,34,4
1,9,31,34,26
2,16,18,26,19
4,6,9,35,16
3,12,17,29,3
1,3,7,24,3
12,16,19,25,19
4,19,25,31,16
21,26,29,34,34
4,6,11,19,30
15,26,29,32,18
5,7,18,25,17
5,8,11,15,5
9,11,26,30,28
17,18,20,33,7
5,8,24,28,17
13,18,20,32,24
6,15,26,33,25
8,20,29,30,22
1,12,20,33,29
2,6,29,34,30
4,8,9,25,22
13,21,24,31,11
4,8,16,27,9
5,20,23,28,1
1,7,9,28,16
3,6,11,19,27
7,8,9,18,6
1,2,16,31,26
5,12,19,35,10
24,28,33,35,31
8,9,13,29,12
4,6,18,33,4
15,25,26,32,24
5,23,25,30,9
4,12,24,34,20
4,17,19,33,34
3,7,16,33,17
15,16,21,32,26
11,16,26,34,30
9,20,31,34,19
3,15,25,30,1
5,8,10,15,32
2,6,15,24,13
5,6,12,30,23
2,4,24,30,5
8,13,23,32,28
2,6,21,25,2
3,15,19,27,14
2,4,24,27,33
1,4,21,23,26
5,10,22,23,14
3,4,20,24,15
9,12,19,33,17
8,23,26,33,17
9,15,18,23,22
8,18,19,22,8
17,19,22,35,31
15,17,26,28,11
13,25,29,35,2
17,21,22,31,16
9,12,15,25,25
7,13,15,17,11
11,15,18,30,10
2,18,24,25,10
1,13,25,34,3
7,12,19,23,1
8,19,20,34,18
3,12,30,32,35
4,6,21,29,21
8,12,26,28,1
21,23,28,34,27
1,11,17,19,20
2,6,19,20,26
2,15,30,35,23
3,15,23,27,24
9,16,24,32,19
1,9,21,31,4
14,16,20,26,32
2,13,27,29,16
3,7,8,17,10
9,15,18,23,30
5,23,29,30,6
19,20,21,33,7
7,21,22,34,31
5,15,26,35,35
13,14,24,31,23
11,16,18,22,5
5,15,25,30,31
10,20,28,32,20
13,20,31,33,26
7,10,16,22,32
9,27,29,35,4
25,27,30,35,11
2,8,27,31,4
5,16,23,25,27
6,15,20,31,6
9,17,20,23,18
4,9,14,21,5
8,15,17,29,32
16,21,27,35,22
8,10,17,32,3
6,15,23,25,33
1,4,16,33,3
2,5,12,22,13
3,8,15,20,25
6,8,29,30,28
2,12,20,25,2
8,20,28,35,20
4,6,15,22,7
5,9,15,34,20
19,24,26,34,15
1,8,25,30,15
14,19,20,21,11
3,12,14,29,5
2,6,15,28,11
7,23,26,33,12
8,12,13,23,5
7,18,24,26,14
5,8,28,33,14
1,2,7,31,16
10,13,24,34,28
8,16,19,35,33
1,11,25,26,7
3,10,15,35,27
6,8,15,27,28
7,17,31,34,11
9,13,14,22,1
5,9,17,24,25
2,8,20,23,1
2,18,21,26,3
10,15,17,27,7
25,27,30,35,3
2,8,13,31,2
4,17,31,35,2
6,15,19,29,20
2,14,30,31,1
13,15,16,26,18
4,20,25,33,32
6,15,25,26,12
6,10,29,34,29
2,14,24,29,3
1,9,11,33,8
9,25,30,32,27
4,13,14,21,3
25,27,29,34,17
4,5,30,32,21
6,9,12,19,25
2,3,13,14,13
12,14,25,29,30
4,8,9,23,3
7,10,13,19,33
1,18,23,28,32
1,17,31,33,30
23,31,33,34,14
5,15,27,28,5
7,12,18,21,10
3,22,25,34,23
15,28,29,30,21
8,12,17,35,20
2,7,10,24,17
10,20,32,33,16
9,16,18,31,11
3,20,21,22,32
7,10,17,31,8
7,17,19,32,31
4,19,26,32,19
3,5,11,20,35
12,15,29,34,22
1,8,11,19,5
2,5,17,21,1
6,18,20,34,28
3,17,31,34,23
5,10,14,34,2
5,16,22,26,2
7,22,25,34,17
7,9,12,32,23
8,9,19,27,8
8,18,20,25,13
7,12,16,31,15
15,23,25,26,8
2,12,14,26,4
21,27,29,32,21
5,6,12,16,6
5,6,14,17,3
8,13,16,33,6
13,20,23,35,7
2,18,20,24,8
6,26,27,30,16
15,18,24,32,10
4,15,18,20,34
3,4,7,21,17
3,11,19,27,16
1,21,25,34,23
1,6,21,24,17
3,5,15,20,26
10,11,30,31,26
15,24,25,33,9
7,18,26,34,10
4,7,21,24,2
3,9,19,23,30
8,12,15,18,1
9,13,18,24,18
17,22,28,32,35
7,10,12,21,11
5,7,9,34,20
8,14,19,28,1
5,25,26,28,19
3,14,27,34,34
5,20,21,28,34
13,16,21,26,22
6,15,23,34,4
10,13,15,33,15
3,6,15,20,7
5,17,24,29,6
3,10,15,18,2
13,15,17,31,7
5,9,15,24,1
16,17,23,33,35
1,4,7,10,15
15,31,34,35,26
8,16,18,23,32
9,20,27,31,11
5,12,13,33,1
12,17,20,34,5
1,7,16,26,10
3,22,28,35,3
10,13,14,30,2
9,15,20,30,20
4,19,22,28,33
6,28,30,32,23
13,14,18,23,3
8,15,19,27,23
8,10,14,29,22
6,15,25,29,17
2,6,27,34,28
8,25,30,34,18
12,23,28,33,17
1,7,15,26,24
1,7,16,17,14
8,11,20,29,5
1,20,25,34,10
3,16,23,30,9
3,4,23,26,2
4,14,23,33,19
10,18,20,30,11
5,6,20,32,35
6,10,11,33,20
9,13,15,21,6
2,4,18,22,4
5,6,8,34,11
1,2,17,24,10
3,17,28,32,28
11,16,20,32,27
4,8,21,34,30
1,4,21,22,1
7,14,19,32,24
7,10,21,32,30
13,21,24,34,10
6,13,19,22,10
13,16,21,31,15
2,15,21,31,19
2,7,13,22,28
2,6,14,34,30
4,8,10,15,13
7,23,30,35,6
2,17,20,24,17
2,4,6,16,34
1,4,10,29,21
1,4,12,35,10
6,7,22,34,8
12,13,28,31,13
5,6,11,21,33
3,6,12,19,12
5,8,14,22,8
17,26,32,35,4
7,8,13,25,20
5,9,12,28,7
3,4,11,13,15
14,26,30,31,6
21,25,30,35,35
2,24,25,34,3
13,18,31,32,3
9,10,20,28,18
2,15,20,22,23
4,8,10,29,4
8,16,17,31,15
6,8,11,29,9
2,3,12,28,23
3,7,12,22,35
6,11,18,25,7
1,13,28,31,25
13,21,22,25,22
13,19,22,35,15
3,12,14,26,16
7,21,23,25,18
4,28,30,33,3
3,7,17,25,2
5,6,23,25,20
2,5,18,30,33
18,19,24,34,15
12,18,28,33,4
13,26,29,30,12
23,24,30,35,35
3,4,13,27,13
2,14,18,33,22
7,14,17,22,25
8,9,22,34,19
1,4,11,31,34
5,17,18,27,4
